#alpha;r;gamma;n;K
1.6600000000000001E+00;-1.9800000000000004E+00;-9.4218725916206936E-01;-9.8000000000000043E-01;-3.2772186714321894E+00
1.6650000000000000E+00;-1.9950000000000001E+00;-9.8480682677055276E-01;-9.9500000000000011E-01;-3.3487761240533156E+00
1.6699999999999999E+00;-2.0099999999999998E+00;-1.0319619070175752E+00;-1.0099999999999998E+00;-3.4311464741925555E+00
1.6750000000000000E+00;-2.0250000000000004E+00;-1.0840999333225931E+00;-1.0250000000000004E+00;-3.5249908922748543E+00
1.6799999999999999E+00;-2.0400000000000000E+00;-1.1417119816800156E+00;-1.0400000000000000E+00;-3.6310298623550272E+00
1.6850000000000001E+00;-2.0550000000000002E+00;-1.2053369654076442E+00;-1.0550000000000002E+00;-3.7500474354400786E+00
1.6899999999999999E+00;-2.0699999999999998E+00;-1.2755662275907469E+00;-1.0699999999999998E+00;-3.8828958341803332E+00
1.6950000000000001E+00;-2.0850000000000000E+00;-1.3530485684290667E+00;-1.0850000000000000E+00;-4.0305004348839244E+00
1.7000000000000000E+00;-2.0999999999999996E+00;-1.4384957481450198E+00;-1.0999999999999996E+00;-4.1938651549417498E+00
1.7050000000000001E+00;-2.1150000000000002E+00;-1.5326885098524528E+00;-1.1150000000000002E+00;-4.3740782759616952E+00
1.7100000000000000E+00;-2.1299999999999999E+00;-1.6364831708840673E+00;-1.1299999999999999E+00;-4.5723187353394215E+00
1.7150000000000001E+00;-2.1450000000000005E+00;-1.7508188355469865E+00;-1.1450000000000005E+00;-4.7898629215975097E+00
1.7200000000000000E+00;-2.1600000000000001E+00;-1.8767252871443090E+00;-1.1600000000000001E+00;-5.0280920115963355E+00
1.7250000000000001E+00;-2.1750000000000003E+00;-2.0153316224236928E+00;-1.1750000000000003E+00;-5.2884998907341956E+00
1.7300000000000000E+00;-2.1899999999999999E+00;-2.1678756974080313E+00;-1.1899999999999999E+00;-5.5727017004604722E+00
1.7350000000000001E+00;-2.2050000000000001E+00;-2.3357144599015998E+00;-1.2050000000000001E+00;-5.8824430609231504E+00
1.7400000000000000E+00;-2.2199999999999998E+00;-2.5203352508578658E+00;-1.2199999999999998E+00;-6.2196100202798110E+00
1.7450000000000001E+00;-2.2350000000000003E+00;-2.7233681643186922E+00;-1.2350000000000003E+00;-6.5862397862087745E+00
1.7500000000000000E+00;-2.2500000000000000E+00;-2.9465995638570615E+00;-1.2500000000000000E+00;-6.9845322995130346E+00
1.7550000000000001E+00;-2.2650000000000006E+00;-3.1919868623898782E+00;-1.2650000000000006E+00;-7.4168627143165891E+00
1.7600000000000000E+00;-2.2800000000000002E+00;-3.4616746819976343E+00;-1.2800000000000002E+00;-7.8857948543830059E+00
1.7650000000000001E+00;-2.2950000000000004E+00;-3.7580125210148738E+00;-1.2950000000000004E+00;-8.3940957204379458E+00
1.7700000000000000E+00;-2.3100000000000001E+00;-4.0835740672753262E+00;-1.3100000000000001E+00;-8.9447511292180995E+00
1.7750000000000001E+00;-2.3250000000000002E+00;-4.4411783090134520E+00;-1.3250000000000002E+00;-9.5409825711409741E+00
1.7800000000000000E+00;-2.3399999999999999E+00;-4.8339126087304596E+00;-1.3399999999999999E+00;-1.0186265380254344E+01
1.7850000000000001E+00;-2.3550000000000004E+00;-5.2651579203409202E+00;-1.3550000000000004E+00;-1.0884348317311963E+01
1.7900000000000000E+00;-2.3700000000000001E+00;-5.7386163462939281E+00;-1.3700000000000001E+00;-1.1639274674607744E+01
1.7949999999999999E+00;-2.3849999999999998E+00;-6.2583412491986037E+00;-1.3849999999999998E+00;-1.2455405019552268E+01
1.8000000000000000E+00;-2.4000000000000004E+00;-6.8287701519403452E+00;-1.4000000000000004E+00;-1.3337441703008484E+01
1.8049999999999999E+00;-2.4150000000000000E+00;-7.4547606814394642E+00;-1.4150000000000000E+00;-1.4290455268053057E+01
